title,year,director,country,runtime_minutes,rating,list_name,award_year,result,tags,source,ai_review,review
Gladiator,2000,Ridley Scott,USA/UK,155,8,21c best picture nominations,2001,winner,21c-best-picture; oscar-best-picture-nominee; oscar-winner; crowd-pleaser,Academy Awards upload,,Human champion pending.
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,Taiwan/Hong Kong/USA/China,120,9,21c best picture nominations,2001,nominee,21c-best-picture; oscar-best-picture-nominee; martial arts,Academy Awards upload,,Human champion pending.
